Date,Close
2011-03-20,133.0
2011-03-24,133.0
2011-03-25,135.0
2011-03-27,134.0
2011-03-28,130.0
2011-03-29,127.0
2011-03-30,129.0
2011-03-31,132.0
2011-04-04,131.0
2011-04-05,128.0
2011-04-06,131.0
2011-04-07,128.0
2011-04-10,128.0
2011-04-11,128.0
2011-04-13,127.0
2011-04-17,125.0
2011-04-18,122.0
2011-04-19,126.0
2011-04-20,126.0
2011-04-21,124.0
2011-04-25,122.0
2011-04-26,122.0
2011-04-27,121.0
2011-04-28,124.0
2011-05-02,123.0
2011-05-03,127.0
2011-05-04,126.0
2011-05-05,125.0
2011-05-08,124.0
2011-05-09,124.0
2011-05-10,125.0
2011-05-11,129.0
2011-05-12,130.0
2011-05-15,131.0
2011-05-16,138.0
2011-05-18,133.0
2011-05-19,131.0
2011-05-22,131.0
2011-05-23,130.0
2011-05-24,132.0
2011-05-25,128.0
2011-05-26,129.0
2011-05-30,130.0
2011-05-31,132.0
2011-06-01,128.0
2011-06-02,129.0
2011-06-05,126.0
2011-06-06,122.0
2011-06-07,118.0
2011-06-08,118.0
2011-06-09,120.0
2011-06-12,120.0
2011-06-13,117.0
2011-06-14,117.0
2011-06-15,121.0
2011-06-16,124.0
2011-06-19,130.0
2011-06-20,130.0
2011-06-21,136.0
2011-06-23,147.0
2011-06-26,147.0
2011-06-29,140.0
2011-07-04,126.0
2011-07-05,126.0
2011-07-06,125.0
2011-07-07,125.0
2011-07-10,125.0
2011-07-11,127.0
2011-07-12,127.0
2011-07-13,131.0
2011-07-14,130.0
2011-07-18,132.0
2011-07-19,132.0
2011-07-20,132.0
2011-07-21,132.0
2011-07-24,130.0
2011-07-25,129.0
2011-07-26,127.0
2011-07-27,132.0
2011-07-28,128.0
2011-07-31,125.0
2011-08-01,126.0
2011-08-02,125.0
2011-08-03,123.0
2011-08-04,126.0
2011-08-07,125.0
2011-08-08,125.0
2011-08-09,123.0
2011-08-10,125.0
2011-08-11,123.0
2011-08-15,127.0
2011-08-16,126.0
2011-08-17,130.0
2011-08-18,128.0
2011-08-22,127.0
2011-08-23,127.0
2011-08-24,126.0
2011-08-25,126.0
2011-08-28,126.0
2011-08-29,124.0
2011-08-30,122.0
2011-09-01,125.0
2011-09-04,125.0
2011-09-05,120.0
2011-09-06,121.0
2011-09-07,120.0
2011-09-08,121.0
2011-09-12,119.0
2011-09-13,118.0
2011-09-14,117.0
2011-09-15,120.0
2011-09-18,116.0
2011-09-19,117.0
2011-09-20,118.0
2011-09-21,117.0
2011-09-22,118.0
2011-09-25,120.0
2011-09-26,120.0
2011-09-27,118.0
2011-09-29,118.0
2011-10-02,117.0
2011-10-10,120.0
2011-10-12,118.0
2011-10-13,118.0
2011-10-16,117.0
2011-10-17,117.0
2011-10-18,116.0
2011-10-19,117.0
2011-10-20,116.0
2011-10-23,115.0
2011-10-24,116.0
2011-10-25,119.0
2011-10-30,120.0
2011-10-31,119.0
2011-11-02,129.0
2011-11-03,133.0
2011-11-06,120.0
2011-11-08,119.0
2011-11-09,118.0
2011-11-10,119.0
2011-11-13,120.0
2011-11-14,122.0
2011-11-15,119.0
2011-11-16,120.0
2011-11-17,118.0
2011-11-20,118.0
2011-11-21,118.0
2011-11-22,117.0
2011-11-23,117.0
2011-11-24,117.0
2011-11-27,119.0
2011-11-28,118.0
2011-11-29,156.0
2011-12-05,121.0
2011-12-06,119.0
2011-12-07,114.0
2011-12-08,117.0
2011-12-11,115.0
2011-12-12,115.0
2011-12-13,114.0
2011-12-14,114.0
2011-12-15,114.0
2011-12-18,114.0
2011-12-19,113.0
2011-12-20,113.0
2011-12-21,116.0
2011-12-22,116.0
2011-12-26,113.0
2011-12-27,114.0
2011-12-28,113.0
2011-12-29,115.0
2012-01-01,114.0
2012-01-02,118.0
2012-01-03,115.0
2012-01-04,114.0
2012-01-05,113.0
2012-01-08,114.0
2012-01-09,111.0
2012-01-10,112.0
2012-01-11,112.0
2012-01-12,112.0
2012-01-16,111.0
2012-01-17,113.0
2012-01-18,118.0
2012-01-19,117.0
2012-01-22,117.0
2012-01-23,112.0
2012-01-25,114.0
2012-01-26,112.0
2012-01-29,112.0
2012-01-31,110.0
2012-02-01,111.0
2012-02-02,111.0
2012-02-05,110.0
2012-02-06,111.0
2012-02-07,110.0
2012-02-08,110.0
2012-02-09,109.0
2012-02-12,109.0
2012-02-13,108.0
2012-02-14,109.0
2012-02-15,111.0
2012-02-16,108.0
2012-02-21,109.0
2012-02-23,109.0
2012-02-26,107.0
2012-02-27,108.0
2012-02-28,109.0
2012-02-29,108.0
2012-03-01,108.0
2012-03-04,109.0
2012-03-05,107.0
2012-03-06,105.0
2012-03-11,106.0
2012-03-12,106.0
2012-03-13,104.0
2012-03-14,103.0
2012-03-15,103.0
2012-03-18,103.0
2012-03-19,102.0
2012-03-20,101.0
2012-03-21,104.0
2012-03-25,106.0
2012-03-26,107.0
2012-03-27,103.0
2012-03-28,106.0
2012-03-29,105.0
2012-04-01,106.0
2012-04-02,105.0
2012-04-03,106.0
2012-04-04,105.0
2012-04-05,106.0
2012-04-08,106.0
2012-04-09,106.0
2012-04-10,106.0
2012-04-11,107.0
2012-04-12,114.0
2012-04-15,123.0
2012-04-16,135.0
2012-04-17,130.0
2012-04-18,124.0
2012-04-19,122.0
2012-04-22,123.0
2012-04-24,129.0
2012-04-25,135.0
2012-04-26,148.0
2012-04-29,150.0
2012-04-30,140.0
2012-05-02,128.0
2012-05-03,132.0
2012-05-07,134.0
2012-05-08,142.0
2012-05-09,142.0
2012-05-10,139.0
2012-05-13,132.0
2012-05-14,125.0
2012-05-15,137.0
2012-05-16,139.0
2012-05-17,141.0
2012-05-20,139.0
2012-05-21,139.0
2012-05-22,143.0
2012-05-23,133.0
2012-05-24,143.0
2012-05-27,148.0
2012-05-29,134.0
2012-05-30,121.0
2012-05-31,128.0
2012-06-03,140.0
2012-06-04,133.0
2012-06-05,133.0
2012-06-06,126.0
2012-06-07,131.0
2012-06-10,138.0
2012-06-11,140.0
2012-06-12,140.0
2012-06-13,141.0
2012-06-14,136.0
2012-06-17,134.0
2012-06-18,133.0
2012-06-19,132.0
2012-06-20,134.0
2012-06-21,136.0
2012-06-25,140.0
2012-06-26,136.0
2012-06-27,140.0
2012-06-28,140.0
2012-07-01,142.0
2012-07-02,141.0
2012-07-03,141.0
2012-07-04,146.0
2012-07-05,145.0
2012-07-08,144.0
2012-07-09,148.0
2012-07-10,150.0
2012-07-11,152.0
2012-07-12,151.0
2012-07-15,156.0
2012-07-16,162.0
2012-07-17,171.0
2012-07-18,186.0
2012-07-19,198.0
2012-07-22,192.0
2012-07-23,190.0
2012-07-24,190.0
2012-07-25,184.0
2012-07-26,177.0
2012-07-29,166.0
2012-07-30,171.0
2012-07-31,176.0
2012-08-01,180.0
2012-08-05,181.0
2012-08-06,181.0
2012-08-07,176.0
2012-08-08,179.0
2012-08-12,171.0
2012-08-13,168.0
2012-08-14,166.0
2012-08-15,163.0
2012-08-16,170.0
2012-08-19,173.0
2012-08-21,166.0
2012-08-22,165.0
2012-08-23,165.0
2012-08-26,173.0
2012-08-27,175.0
2012-08-28,177.0
2012-08-29,176.0
2012-08-30,171.0
2012-09-02,171.0
2012-09-03,171.0
2012-09-04,170.0
2012-09-05,170.0
2012-09-06,170.0
2012-09-09,171.0
2012-09-10,172.0
2012-09-11,172.0
2012-09-12,171.0
2012-09-13,173.0
2012-09-16,175.0
2012-09-17,177.0
2012-09-18,180.0
2012-09-19,182.0
