Date,Open,Close,Volume,Turnover,news_score
2011-03-20,132.0,133.0,1507.0,198979.0,0.0
2011-03-24,135.0,133.0,3116.0,415035.0,0.0
2011-03-25,133.0,135.0,2560.0,342820.0,0.13594615384615383
2011-03-27,135.0,134.0,2110.0,284040.0,0.09866666666666667
2011-03-28,134.0,130.0,1288.0,169336.0,0.14264444444444443
2011-03-29,130.0,127.0,1390.0,178760.0,0.04228571428571428
2011-03-30,127.0,129.0,1261.0,161332.0,-0.005549999999999999
2011-03-31,129.0,132.0,1475.0,191490.0,-0.12448000000000001
2011-04-04,132.0,131.0,2927.0,378740.0,0.07576
2011-04-05,131.0,128.0,1828.0,236055.0,-0.011666666666666678
2011-04-06,128.0,131.0,5221.0,672814.0,-0.05456363636363636
2011-04-07,131.0,128.0,825.0,105890.0,0.13006666666666666
2011-04-10,128.0,128.0,1531.0,194797.0,0.042929999999999996
2011-04-11,128.0,128.0,3030.0,388690.0,-0.23851
2011-04-13,128.0,127.0,60.0,7620.0,0.060255555555555555
2011-04-17,127.0,125.0,1650.0,207460.0,0.10392499999999999
2011-04-18,125.0,122.0,2651.0,329486.0,0.12048
2011-04-19,122.0,126.0,866.0,107182.0,-0.06860000000000001
2011-04-20,126.0,126.0,3022.0,381832.0,0.035608333333333325
2011-04-21,126.0,124.0,2040.0,255070.0,0.03345
2011-04-25,124.0,122.0,3265.0,403300.0,-0.017178947368421054
2011-04-26,122.0,122.0,70.0,8540.0,-0.14186666666666667
2011-04-27,122.0,121.0,3367.0,406887.0,0.1405875
2011-04-28,121.0,124.0,2299.0,283012.0,-0.11012
2011-05-02,124.0,123.0,2030.0,245810.0,-0.08303333333333333
2011-05-03,123.0,127.0,1120.0,140240.0,-0.08519473684210527
2011-05-04,127.0,126.0,2484.0,312736.0,-0.07504999999999999
2011-05-05,126.0,125.0,931.0,116584.0,0.04916562499999999
2011-05-08,125.0,124.0,4485.0,563061.0,0.19011111111111112
2011-05-09,124.0,124.0,840.0,102720.0,0.162065
2011-05-10,124.0,125.0,1013.0,126395.0,0.19175
2011-05-11,125.0,129.0,400.0,50780.0,0.17338095238095239
2011-05-12,129.0,130.0,741.0,95643.0,0.1481058823529412
2011-05-15,130.0,131.0,3412.0,448352.0,0.19192857142857142
2011-05-16,131.0,138.0,3382.0,445266.0,-0.026611764705882356
2011-05-18,138.0,133.0,1703.0,223392.0,-0.004112499999999991
2011-05-19,133.0,131.0,2307.0,304895.0,0.08321666666666666
2011-05-22,131.0,131.0,1918.0,248828.0,-0.0167
2011-05-23,131.0,130.0,4281.0,560579.0,0.06167
2011-05-24,130.0,132.0,2801.0,362950.0,0.00023749999999999466
2011-05-25,132.0,128.0,690.0,89350.0,0.06329
2011-05-26,128.0,129.0,590.0,76010.0,0.0722090909090909
2011-05-30,129.0,130.0,1283.0,167103.0,0.031707692307692305
2011-05-31,130.0,132.0,1623.0,209534.0,0.06944285714285714
2011-06-01,132.0,128.0,1013.0,130927.0,-0.05856666666666667
2011-06-02,128.0,129.0,3753.0,483975.0,0.06503333333333333
2011-06-05,129.0,126.0,930.0,118940.0,0.028409090909090908
2011-06-06,126.0,122.0,816.0,101444.0,0.027000000000000003
2011-06-07,122.0,118.0,2242.0,268962.0,-0.02406
2011-06-08,118.0,118.0,270.0,31540.0,0.04413999999999999
2011-06-09,118.0,120.0,1656.0,190891.0,0.03382142857142857
2011-06-12,120.0,120.0,1031.0,123239.0,-0.009962500000000006
