Date,Actual,Predicted,Error
2019-04-01,295.0,305.02914,-10.029144
2019-04-02,299.0,304.7831,-5.7831116
2019-04-03,301.0,308.09845,-7.0984497
2019-04-04,305.0,310.77795,-5.777954
2019-04-07,301.0,312.69202,-11.692017
2019-04-08,311.0,312.1678,-1.1677856
2019-04-09,311.0,318.80807,-7.808075
2019-04-10,312.0,321.2483,-9.248291
2019-04-11,313.0,318.7453,-5.7453003
2019-04-15,313.0,323.6803,-10.680298
2019-04-16,313.0,322.9446,-9.944611
2019-04-17,332.0,325.74338,6.2566223
2019-04-18,341.0,335.8687,5.1312866
2019-04-21,350.00003,349.4708,0.52923584
2019-04-22,353.0,350.1537,2.8463135
2019-04-23,346.0,350.46072,-4.460724
2019-04-24,342.0,350.91855,-8.918549
2019-04-25,354.00003,358.20026,-4.200226
2019-04-28,395.00003,379.76657,15.233459
2019-04-29,395.00003,392.38226,2.6177673
2019-04-30,389.0,387.56125,1.4387512
2019-05-02,383.0,388.3774,-5.377411
2019-05-05,385.0,390.77634,-5.7763367
2019-05-06,377.0,392.96216,-15.962158
2019-05-07,390.0,388.58066,1.419342
2019-05-08,388.00003,390.05777,-2.0577393
2019-05-09,394.00003,391.47913,2.5209045
2019-05-12,387.00003,401.78214,-14.7821045
2019-05-13,390.0,388.4057,1.5942993
2019-05-14,388.00003,389.67816,-1.6781311
2019-05-15,417.0,420.37366,-3.3736572
2019-05-16,445.00003,426.05588,18.944153
2019-05-19,425.00003,430.53098,-5.530945
2019-05-20,430.0,424.19516,5.80484
2019-05-21,421.0,426.02045,-5.020447
2019-05-22,420.00003,423.21307,-3.2130432
2019-05-23,427.00003,432.1856,-5.1855774
2019-05-26,432.00003,435.36667,-3.3666382
2019-05-27,419.00003,427.35916,-8.359131
2019-05-28,428.0,424.8162,3.1838074
2019-05-29,422.0,421.3113,0.6886902
2019-05-30,437.00003,427.8886,9.11142
2019-06-02,433.00003,437.78738,-4.7873535
2019-06-03,430.0,426.22842,3.771576
2019-06-04,415.0,428.36575,-13.365753
2019-06-06,418.00003,421.0319,-3.0318604
2019-06-10,413.00003,414.11487,-1.1148376
2019-06-11,412.00003,415.6978,-3.6977844
2019-06-12,413.00003,421.63385,-8.63382
2019-06-13,412.00003,413.2788,-1.2787781
2019-06-16,411.0,413.29175,-2.291748
2019-06-17,404.0,413.9502,-9.950195
2019-06-18,403.0,409.30698,-6.3069763
2019-06-19,402.0,404.2662,-2.2662048
2019-06-20,409.0,403.1657,5.8342896
2019-06-23,405.00003,402.7112,2.2888184
2019-06-24,403.0,404.51157,-1.5115662
2019-06-25,413.00003,411.65775,1.3422852
2019-06-26,418.00003,413.1863,4.8137207
2019-06-27,413.00003,413.00308,-0.0030517578
2019-06-30,413.00003,412.12808,0.87194824
2019-07-01,408.0,409.78305,-1.7830505
2019-07-02,404.0,406.98453,-2.9845276
2019-07-03,408.0,408.73782,-0.7378235
2019-07-04,415.0,410.33237,4.667633
2019-07-07,408.0,410.73663,-2.7366333
2019-07-08,410.0,411.77972,-1.7797241
2019-07-09,402.0,408.86908,-6.8690796
2019-07-10,405.00003,403.83386,1.1661682
2019-07-11,407.00003,407.1889,-0.18887329
2019-07-14,411.0,407.01593,3.9840698
2019-07-15,406.00003,406.3166,-0.31655884
2019-07-16,426.00003,405.71838,20.281647
2019-07-17,408.0,410.8752,-2.8752136
2019-07-18,413.00003,415.33606,-2.336029
2019-07-21,414.00003,416.0732,-2.0731812
2019-07-22,414.00003,414.2845,-0.28445435
2019-07-23,418.00003,414.74857,3.2514648
2019-07-24,435.0,431.47864,3.5213623
