Date,Actual,Predicted,Error
2019-01-07,344.0,354.62552,-10.625519
2019-01-08,347.0,354.83624,-7.8362427
2019-01-09,349.00003,357.68713,-8.687103
2019-01-10,354.00003,359.64905,-5.6490173
2019-01-13,357.0,360.43167,-3.4316711
2019-01-14,350.00003,361.33676,-11.336731
2019-01-15,348.00003,359.52332,-11.523285
2019-01-16,350.00003,356.54077,-6.540741
2019-01-17,347.0,356.70227,-9.7022705
2019-01-20,345.0,354.2607,-9.260712
2019-01-21,345.0,352.1242,-7.1242065
2019-01-22,338.0,351.7372,-13.737213
2019-01-23,343.0,350.31033,-7.3103333
2019-01-24,344.0,350.9192,-6.9191895
2019-01-27,342.0,352.26746,-10.267456
2019-01-28,339.0,349.1468,-10.14679
2019-01-29,342.0,348.7491,-6.749115
2019-01-30,340.0,347.23334,-7.2333374
2019-01-31,342.0,346.5143,-4.5143127
2019-02-03,337.0,346.39035,-9.39035
2019-02-04,338.0,346.05457,-8.054565
2019-02-05,340.0,345.86798,-5.867981
2019-02-06,352.0,343.61337,8.386627
2019-02-07,330.0,344.9715,-14.971497
2019-02-10,335.0,340.7177,-5.7177124
2019-02-11,328.0,338.8282,-10.828186
2019-02-12,330.0,336.1478,-6.1477966
2019-02-13,330.0,334.49063,-4.490631
2019-02-14,331.0,333.69693,-2.69693
2019-02-17,330.0,334.61014,-4.610138
2019-02-18,328.0,336.09726,-8.0972595
2019-02-19,324.0,335.0209,-11.020905
2019-02-20,333.0,335.0839,-2.0838928
2019-02-21,329.0,337.2475,-8.247498
2019-02-24,333.0,339.0194,-6.019409
2019-02-25,332.0,338.6493,-6.649292
2019-02-26,331.0,339.77695,-8.776947
2019-02-27,330.0,341.35962,-11.359619
2019-03-03,308.0,343.25647,-35.25647
2019-03-05,291.0,323.74963,-32.749634
2019-03-06,292.0,310.47067,-18.470673
2019-03-07,292.0,304.1596,-12.159607
2019-03-10,294.0,302.44913,-8.449127
2019-03-11,298.0,302.39053,-4.3905334
2019-03-12,300.0,306.64615,-6.6461487
2019-03-13,305.0,312.1713,-7.171295
2019-03-14,301.0,314.57074,-13.57074
2019-03-17,303.0,312.06253,-9.0625305
2019-03-18,303.0,311.5113,-8.5112915
2019-03-19,301.0,311.9813,-10.981293
2019-03-21,297.0,309.42203,-12.422028
2019-03-24,299.0,307.30038,-8.3003845
2019-03-25,294.0,306.82758,-12.827576
2019-03-26,298.0,306.8401,-8.840088
2019-03-27,296.0,307.40125,-11.401245
2019-03-28,298.0,307.16412,-9.164124
2019-03-31,296.0,307.39493,-11.394928
2019-04-01,295.0,307.34445,-12.344452
2019-04-02,299.0,307.49496,-8.494965
2019-04-03,301.0,310.74435,-9.744354
2019-04-04,305.0,312.6099,-7.609894
2019-04-07,301.0,313.6278,-12.627808
2019-04-08,311.0,315.04858,-4.048584
2019-04-09,311.0,322.0656,-11.065613
2019-04-10,312.0,323.91663,-11.916626
2019-04-11,313.0,321.72394,-8.723938
2019-04-15,313.0,324.29233,-11.292328
2019-04-16,313.0,324.2387,-11.2387085
2019-04-17,332.0,326.62668,5.3733215
2019-04-18,341.0,335.98538,5.014618
2019-04-21,350.00003,349.59842,0.40161133
2019-04-22,353.0,353.52567,-0.5256653
2019-04-23,346.0,354.487,-8.4869995
2019-04-24,342.0,355.4074,-13.40741
2019-04-25,354.00003,363.12274,-9.122711
